"id"	"item_no"	"item_name"	"item_count"	"item_measure"	"item_origin"	"item_model"	"bom_no"	"item_type"	"location"	"remark"	"item_count_assist"	"item_measure_assist"	"uni_id"	"is_valid"	"erp_count"	"net_weight"	"created_by"	"created_time"	"updated_by"	"updated_time"
"00008cf6b29742fc9c977b27c1de0e49"	"700051"	"大梁板下料件"	"0"	"公斤"	"1"	"610L 5.8*1320*5250"	"610L 5.8*1320*5250"	"01"			"0"	"公斤"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"000af6e4f1f34374b9d607f352763415"	"500048"	"爬梯"	"0"	"平方"	"0"	"    "	""	"00"			"0"	"平方"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"000b502c2ab9438b81e506083a2ad7af"	"614471"	"铰链安装板
"	"0"	"件"	"1"	"2579000088"	"2579000088"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"000e1f6001ff49f99ea97a2306b758a7"	"300816"	"横拉板"	"0"	"件"	"0"	"2516002666"	""	"00"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"001564201ffb466c84c252300435c510"	"601531"	"臂架右固定板"	"0"	"件"	"1"	"2523002164"	"2523002164"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00187d66925047e4a56bfe6e208a2db5"	"612152"	"配重板"	"0"	"件"	"1"	"2516009148"	"2516009148"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0019ff88fc4242a3a18509ec98d791c4"	"400713"	"大梁板SG610"	"0"	"公斤"	"0"	"4*1500"	""	"00"			"0"	"公斤"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"001b0b111b2f4f7bb0fd818e30f466e7"	"100310"	"24V开关电源"	"0"	"个"	"0"	"    "	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"001c974eed414169ac2b875c7785f55c"	"602664"	"加强板"	"0"	"件"	"1"	"2521006890"	"2521006890"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"001ea07d632c456a9cfcaf3a5c0fcbf8"	"602033"	"筋板402*130*16"	"0"	"件"	"1"	"27140223941"	"27140223941"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0020c41b76be4af3998686533a1d9d53"	"615835"	"板150*65*20"	"0"	"件"	"1"	"25230029551"	"25230029551"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00234b02398f466dbde1d6026029d9c7"	"602421
"	"左侧贴板
"	"0"	"件"	"1"	"27140231211
"	"27140231211
"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"002374b418c142738c20443e53f387e8"	"700076"	"大梁板下料件"	"0"	"公斤"	"1"	"610L 7.8*1540*2322"	"610L 7.8*1540*2322"	"01"			"0"	"公斤"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"002daecf44fa476f883607237f0084d5"	"614970"	"左伸缩杆"	"0"	"件"	"1"	"25210049421"	"25210049421"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0036df5dc36d49b48b760313899dca1f"	"615585"	"侧板"	"0"	"件"	"1"	"25210115071"	"25210115071"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"003774f8a38344049840407f855390e2"	"300517"	"右板"	"0"	"件"	"0"	"2521005599"	""	"00"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00412595895f4071b99228b0d1130e0a"	"615213"	"矩管80*40*4*560"	"0"	"件"	"1"	"2523003769"	"2523003769"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00577cb5d9bf4c9f8a2ff9a0249e26c5"	"100332"	"漏电开关"	"0"	"台"	"0"	"400A"	""	"00"			"0"	"台"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"006be5f7fa4444d4a1f6da57ecf0877e"	"100419"	"白钢条"	"0"	"支"	"0"	"    "	""	"00"			"0"	"支"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"006edd37d1454a6bbb9b7a8ec435666e"	"616953"	"横梁本体"	"0"	"件"	"1"	"AZ9723510005"	"AZ9723510005"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0072cffaba5d4c13973cd22d296021ed"	"602502"	"底盘焊接合码"	"0"	"件"	"1"	"25160088932"	"25160088932"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0078652e4aa544f799631c973ac2bd06"	"616633"	"测试33"	"0"	"件"	"1"	"33333333"	"33333333"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"008b90c2de4943ccad70063f70a76a06"	"300510"	"板"	"0"	"件"	"0"	"2521001304"	""	"00"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"008e6c61cb6f449d9802f406799a0fdb"	"601187"	"底盘"	"0"	"件"	"1"	"25160063531"	"25160063531"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00952ecd846c403bba5ac6566f63540e"	"300281"	"销轴"	"0"	"件"	"0"	"φ100×440"	""	"00"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"009e11cbb6b24e6d95da6d8de8823621"	"101253"	"防毒面具"	"0"	"个"	"0"	"    "	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00a10ffd58044da480b2451190125c78"	"616349"	"左纵梁外腹板6210*540*20"	"0"	"件"	"1"	"2714022264"	"2714022264"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00af5c19551346ba9cfa35dd532b73c1"	"100752"	"拳王插排"	"0"	"个"	"0"	"带线3米"	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00b64a29783749b088dc60f70bed0ef0"	"100432"	"砂纸"	"0"	"盒"	"0"	"120#(圆形）"	""	"00"			"0"	"盒"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00bce46dea5f4006babd639107b0ab2f"	"601407"	"矩管"	"0"	"件"	"1"	"2523002102"	"2523002102"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00c993ef66bd48d2914670d72cad8d56"	"101251"	"双色胶布"	"0"	"个"	"0"	"    "	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00e6ac0a7bc54fc7bb110d313abef224"	"102459"	"夹头"	"0"	"件"	"0"	"ISO-M3"	""	"00"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00f6de1f5e4e4aed84f1e5b5228d001d"	"100674"	"夹头"	"0"	"个"	"0"	"ER32-5"	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00f8360ed0ff470cb438c86a3723ef1b"	"615015"	"尾梁连接板"	"0"	"件"	"1"	"2714018455"	"2714018455"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"00f895944b1f42dcb638f4e93d6c10ee"	"602377
"	"调平油缸支架立板
"	"0"	"件"	"1"	"2516002661
"	"2516002661
"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0102c18b73cc4f41980b76e93b830d69"	"616480"	"下臂后安装板"	"0"	"件"	"1"	"27140221802"	"27140221802"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"01055227cf3c484c861ecd2d77882253"	"101959"	"螺栓"	"0"	"个"	"0"	"M10*35"	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"011367948cd74adaa201d23234144257"	"101387"	"聚氨酯面漆固化剂"	"0"	"公斤"	"0"	"XH7208-4(4kg/桶）"	""	"00"			"0"	"公斤"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"01157493d1da438d879a78600b197701"	"600422"	"套筒"	"0"	"件"	"1"	"2523000269-1"	"2523000269-1"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0127ecde5fc64f9cadd4dca55b694b51"	"102057"	"螺栓"	"0"	"个"	"0"	"M20*250"	""	"00"			"0"	"个"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"0129344eaab34206a9a48073a36b7f29"	"616304"	"机罩限位板60*59*8"	"0"	"件"	"1"	"27140223261
"	"27140223261
"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"012cb902b3b342be9c0d3a9b8c8a54ef"	"601367
"	"浮动油缸焊接横板
"	"0"	"件"	"1"	"2516003448
"	"2516003448
"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
"012e928ff5a74ad6a9c4f9f3d5edecf1"	"602565"	"平台"	"0"	"件"	"1"	"25210106731"	"25210106731"	"01"			"0"	"件"		"01"	"0"	"0"	"1"	"2/8/2025 18:42:01"	"1"	"2/8/2025 18:42:01"
