"role_id"	"menu_id"	"tenant_id"
"2"	"1"	
"2"	"2"	
"2"	"3"	
"2"	"100"	
"2"	"101"	
"2"	"102"	
"2"	"103"	
"2"	"104"	
"2"	"105"	
"2"	"106"	
"2"	"107"	
"2"	"108"	
"2"	"109"	
"2"	"110"	
"2"	"111"	
"2"	"112"	
"2"	"113"	
"2"	"114"	
"2"	"115"	
"2"	"116"	
"2"	"117"	
"2"	"500"	
"2"	"501"	
"2"	"1000"	
"2"	"1001"	
"2"	"1002"	
"2"	"1003"	
"2"	"1004"	
"2"	"1005"	
"2"	"1006"	
"2"	"1007"	
"2"	"1008"	
"2"	"1009"	
"2"	"1010"	
"2"	"1011"	
"2"	"1012"	
"2"	"1013"	
"2"	"1014"	
"2"	"1015"	
"2"	"1016"	
"2"	"1017"	
"2"	"1018"	
"2"	"1019"	
"2"	"1020"	
"2"	"1021"	
"2"	"1022"	
"2"	"1023"	
"2"	"1024"	
"2"	"1025"	
"2"	"1026"	
"2"	"1027"	
"2"	"1028"	
"2"	"1029"	
"2"	"1030"	
"2"	"1031"	
"2"	"1032"	
"2"	"1033"	
"2"	"1034"	
"2"	"1035"	
"2"	"1036"	
"2"	"1037"	
"2"	"1038"	
"2"	"1039"	
"2"	"1040"	
"2"	"1041"	
"2"	"1042"	
"2"	"1043"	
"2"	"1044"	
"2"	"1045"	
"2"	"1046"	
"2"	"1047"	
"2"	"1048"	
"2"	"1049"	
"2"	"1050"	
"2"	"1051"	
"2"	"1052"	
"2"	"1053"	
"2"	"1054"	
"2"	"1055"	
"2"	"1056"	
"2"	"1057"	
"2"	"1058"	
"2"	"1059"	
"2"	"1060"	
"2"	"2000"	
"2"	"2001"	
"2"	"2002"	
"2"	"2003"	
"2"	"2004"	
"2"	"2005"	
"104"	"1"	"0"
"104"	"100"	"0"
"104"	"101"	"0"
"104"	"102"	"0"
"104"	"103"	"0"
"104"	"104"	"0"
"104"	"107"	"0"
"104"	"108"	"0"
"104"	"500"	"0"
"104"	"501"	"0"
"104"	"1000"	"0"
"104"	"1001"	"0"
"104"	"1002"	"0"
"104"	"1003"	"0"
"104"	"1004"	"0"
"104"	"1005"	"0"
"104"	"1006"	"0"
"104"	"1007"	"0"
"104"	"1008"	"0"
"104"	"1009"	"0"
"104"	"1010"	"0"
"104"	"1011"	"0"
"104"	"1012"	"0"
"104"	"1013"	"0"
"104"	"1014"	"0"
"104"	"1015"	"0"
"104"	"1016"	"0"
"104"	"1017"	"0"
"104"	"1018"	"0"
"104"	"1019"	"0"
"104"	"1020"	"0"
"104"	"1021"	"0"
"104"	"1022"	"0"
"104"	"1023"	"0"
"104"	"1024"	"0"
"104"	"1035"	"0"
"104"	"1036"	"0"
"104"	"1037"	"0"
"104"	"1038"	"0"
"104"	"1039"	"0"
"104"	"1040"	"0"
"104"	"1041"	"0"
"104"	"1042"	"0"
"104"	"1043"	"0"
"104"	"1044"	"0"
"104"	"1045"	"0"
"104"	"2053"	"0"
"104"	"2054"	"0"
"104"	"2057"	"0"
"104"	"2058"	"0"
"104"	"2059"	"0"
"104"	"2061"	"0"
"104"	"2062"	"0"
"104"	"2063"	"0"
"104"	"2064"	"0"
"104"	"2065"	"0"
"104"	"2066"	"0"
"104"	"2067"	"0"
"104"	"2068"	"0"
"104"	"2069"	"0"
"104"	"2070"	"0"
"104"	"2071"	"0"
"104"	"2072"	"0"
"104"	"2073"	"0"
"104"	"2074"	"0"
"104"	"2075"	"0"
"104"	"2076"	"0"
"104"	"2077"	"0"
