"device_id"	"devicetype_id"	"tenant_id"	"create_time"	"update_time"	"create_by"	"update_by"
"39"	"103"	"0"	"1/4/2025 09:06:00"		"admin"	
"1743422936000"	"103"	"0"	"31/3/2025 20:08:56"		"admin"	
"1743422940000"	"103"	"0"	"31/3/2025 20:09:00"		"admin"	
"1743470301000"	"103"	"0"	"1/4/2025 09:18:22"		"admin"	
"1743470534000"	"105"	"0"	"1/4/2025 09:22:15"		"admin"	
"1743470548000"	"105"	"0"	"1/4/2025 09:22:29"		"admin"	
"1743580968000"	"103"	"0"	"2/4/2025 16:02:48"		"admin"	
"1743581235000"	"104"	"0"	"2/4/2025 16:07:16"		"admin"	
"1744614501000"	"103"	"0"	"14/4/2025 15:08:22"		"张三"	
"1744620051000"	"103"	"0"	"14/4/2025 16:40:51"		"张三"	
"1744623128000"	"103"	"0"	"14/4/2025 17:32:09"		"张三"	
"1744935069000"	"103"	"0"	"18/4/2025 08:13:11"		"张三"	
"1744935631000"	"314"	"0"	"18/4/2025 08:20:32"		"张三"	
"1744935698000"	"105"	"0"	"18/4/2025 08:21:39"		"张三"	
"1744935796000"	"103"	"0"	"18/4/2025 08:23:17"		"张三"	
"1744935866000"	"314"	"0"	"22/5/2025 09:11:44"		"董靖"	
"1744935944000"	"103"	"0"	"18/4/2025 08:25:44"		"张三"	
"1744935994000"	"105"	"0"	"18/4/2025 08:26:35"		"张三"	
"1744936205000"	"105"	"0"	"18/4/2025 08:30:05"		"张三"	
"1747873591000"	"103"	"0"	"22/5/2025 08:26:31"		"董靖"	
"1747873826000"	"312"	"0"	"22/5/2025 09:10:26"			
